catalog_id,category,brand,model_name,product_name,color,storage,network,jancode
8CR8IL304Z000,スマートフォン本体,ASUS,ROG Phone 8,ROG Phone 8 レベルグレー 256GB ROG8-GY16R256,レベルグレー,256GB,,
L7RKCXUCSK000,スマートフォン本体,ASUS,ROG Phone 9 Pro Edition,ROG Phone 9 Pro Edition ファントムブラック 1TB ROG9PRO-BK24R1T,ファントムブラック,1TB,,
H6D674SPS5000,スマートフォン本体,ASUS,ROG Phone 9,ROG Phone 9 ストームホワイト 256GB ROG9-WH12R256,ストームホワイト,256GB,,
EBP430G4C6000,スマートフォン本体,ASUS,ROG Phone 9,ROG Phone 9 ファントムブラック 256GB ROG9-BK12R256,ファントムブラック,256GB,,
7BYIBRMGQN000,スマートフォン本体,ASUS,ROG Phone II,ROG Phone II マットブラック 1024GB ZS660KL-BK1TR12,マットブラック,1TB,,192876528730
NSUKYWR2MF000,スマートフォン本体,ASUS,ROG Phone,ROG Phone ブラック 512GB ZS600KL-BK512S8,ブラック,512GB,,192876097090
1QH87HMOM1000,スマートフォン本体,ASUS,Smartphone for Snapdragon Insiders,Smartphone for Snapdragon Insiders ミッドナイトブルー 512GB ZS675KW-BL512R16,ミッドナイトブルー,512GB,,
WTPC09XB8R000,スマートフォン本体,ASUS,ZenFone 2 (RAM 2GBモデル),ZenFone 2 (RAM 2GBモデル) グレー 32GB ZE551ML-GY32,グレー,32GB,,889349014400
MC299TEBH4000,スマートフォン本体,ASUS,ZenFone 2 (RAM 2GBモデル),ZenFone 2 (RAM 2GBモデル) ゴールド 32GB ZE551ML-GD32,ゴールド,32GB,,889349014387
7B7I9BVROK000,スマートフォン本体,ASUS,ZenFone 2 (RAM 2GBモデル),ZenFone 2 (RAM 2GBモデル) ブラック 32GB ZE551ML-BK32,ブラック,32GB,,889349014325
NAEBF04Q0E000,スマートフォン本体,ASUS,ZenFone 2 (RAM 2GBモデル),ZenFone 2 (RAM 2GBモデル) レッド 32GB ZE551ML-RD32,レッド,32GB,,889349014363
8THI7OFER3000,スマートフォン本体,ASUS,ZenFone 2 (RAM 4GBモデル),ZenFone 2 (RAM 4GBモデル) グレー 128GB,グレー,128GB,,889349014417
1ZOQFJZ4NH000,スマートフォン本体,ASUS,ZenFone 2 (RAM 4GBモデル),ZenFone 2 (RAM 4GBモデル) グレー 32GB ZE551ML-GY32S4,グレー,32GB,,889349029305
6DWLAB8P0E000,スマートフォン本体,ASUS,ZenFone 2 (RAM 4GBモデル),ZenFone 2 (RAM 4GBモデル) ゴールド 128GB ZE551ML-GD128S4,ゴールド,128GB,,
0VYZ6UU84F000,スマートフォン本体,ASUS,ZenFone 2 (RAM 4GBモデル),ZenFone 2 (RAM 4GBモデル) ゴールド 32GB ZE551ML-GD32S4,ゴールド,32GB,,889349029299
F4VDRC784A000,スマートフォン本体,ASUS,ZenFone 2 (RAM 4GBモデル),ZenFone 2 (RAM 4GBモデル) ゴールド 64GB ZE551ML-GD64S4,ゴールド,64GB,,889349014394
7FZAUWX8TJ000,スマートフォン本体,ASUS,ZenFone 2 (RAM 4GBモデル),ZenFone 2 (RAM 4GBモデル) ブラック 128GB ZE551ML-BK128S4,ブラック,128GB,,
4JM740ELZ2000,スマートフォン本体,ASUS,ZenFone 2 (RAM 4GBモデル),ZenFone 2 (RAM 4GBモデル) ブラック 32GB ZE551ML-BK32S4,ブラック,32GB,,889349029312
BX61UOFL05000,スマートフォン本体,ASUS,ZenFone 2 (RAM 4GBモデル),ZenFone 2 (RAM 4GBモデル) ブラック 64GB ZE551ML-BK64S4,ブラック,64GB,,889349014332
2GG2JJ0HV7000,スマートフォン本体,ASUS,ZenFone 2 (RAM 4GBモデル),ZenFone 2 (RAM 4GBモデル) レッド 128GB ZE551ML-RD128S4,レッド,128GB,,
244QN03Q12000,スマートフォン本体,ASUS,ZenFone 2 (RAM 4GBモデル),ZenFone 2 (RAM 4GBモデル) レッド 32GB ZE551ML-RD32S4,レッド,32GB,,889349029282
WBLTQ5EQ6V000,スマートフォン本体,ASUS,ZenFone 2 (RAM 4GBモデル),ZenFone 2 (RAM 4GBモデル) レッド 64GB ZE551ML-RD64S4,レッド,64GB,,889349014370
02TO7K1H2L000,スマートフォン本体,ASUS,ZenFone 2 Laser ZE601KL,ZenFone 2 Laser ZE601KL グレー 32GB ZE601KL-GY32S3,グレー,32GB,,
EM6GHHYHXR000,スマートフォン本体,ASUS,ZenFone 2 Laser ZE601KL,ZenFone 2 Laser ZE601KL ゴールド 32GB ZE601KL-GD32S3,ゴールド,32GB,,889349123461
CVWWN3VQQH000,スマートフォン本体,ASUS,ZenFone 2 Laser ZE601KL,ZenFone 2 Laser ZE601KL レッド 32GB ZE601KL-RD32S3,レッド,32GB,,
V8YGZ8384X000,スマートフォン本体,ASUS,ZenFone 2 Laser,ZenFone 2 Laser グレー 16GB ZE500KL-GY16,グレー,16GB,,889349178485
QX4QS60I46000,スマートフォン本体,ASUS,ZenFone 2 Laser,ZenFone 2 Laser ゴールド 16GB ZE500KL-GD16,ゴールド,16GB,,
S8NA77J6NO000,スマートフォン本体,ASUS,ZenFone 2 Laser,ZenFone 2 Laser ブラック 16GB ZE500KL-BK16,ブラック,16GB,,889349095867
3LF8QQHPX5000,スマートフォン本体,ASUS,ZenFone 2 Laser,ZenFone 2 Laser ホワイト 16GB ZE500KL-WH16,ホワイト,16GB,,
49MZZU6WE2000,スマートフォン本体,ASUS,ZenFone 2 Laser,ZenFone 2 Laser レッド 16GB ZE500KL-RD16,レッド,16GB,,
9XOZAE5K6Q000,スマートフォン本体,ASUS,ZenFone 2,ZenFone 2 ZE500CL チェリーレッド 16GB,チェリーレッド,16GB,,4712900095906
FJ4UX5P9NE000,スマートフォン本体,ASUS,ZenFone 2,ZenFone 2 チャコール ブラック 16GB ZE551ML-BK16,チャコールブラック,16GB,,
NH93DYR6C8000,スマートフォン本体,ASUS,ZenFone 2,ZenFone 2 パールホワイト 16GB,パールホワイト,16GB,,
0VL8FE0HSN000,スマートフォン本体,ASUS,ZenFone 2,ZenFone 2 ブラック 16GB,ブラック,16GB,,
9BOGX2JL3I000,スマートフォン本体,ASUS,ZenFone 2,ZenFone 2 ホワイト 16GB,ホワイト,16GB,,
KTML70Y9G8000,スマートフォン本体,ASUS,ZenFone 2,ZenFone 2 レッド 16GB ZE551ML-RD16,レッド,16GB,,
LBLZT0FQQM000,スマートフォン本体,ASUS,ZenFone 3 Deluxe ZS570KL,ZenFone 3 Deluxe ZS570KL ゴールド 256GB ZS570KL-GD256S6,ゴールド,256GB,,889349500064
21BGHTCTGM000,スマートフォン本体,ASUS,ZenFone 3 Deluxe ZS570KL,ZenFone 3 Deluxe ZS570KL シルバー 256GB ZS570KL-SL256S6,シルバー,256GB,,889349500088
H5R78ZTCH7000,スマートフォン本体,ASUS,ZenFone 3 Deluxe,ZenFone 3 Deluxe ゴールド 64GB ZS550KL-GD64S4,ゴールド,64GB,,889349459898
ANPTEV24MW000,スマートフォン本体,ASUS,ZenFone 3 Deluxe,ZenFone 3 Deluxe シルバー 64GB ZS550KL-SL64S4,シルバー,64GB,,
6W46GXP9C9000,スマートフォン本体,ASUS,ZenFone 3 Laser,ZenFone 3 Laser ゴールド 32GB ZC551KL-GD32S4,ゴールド,32GB,,889349534656
9O0DF818MV000,スマートフォン本体,ASUS,ZenFone 3 Laser,ZenFone 3 Laser シルバー 32GB ZC551KL-SL32S4,シルバー,32GB,,
V14XT07YDA000,スマートフォン本体,ASUS,ZenFone 3 Max ZC553KL,ZenFone 3 Max ZC553KL グレー 32GB ZC553KL-GY32S3,グレー,32GB,,
NYX9YD5O4O000,スマートフォン本体,ASUS,ZenFone 3 Max ZC553KL,ZenFone 3 Max ZC553KL ゴールド 32GB ZC553KL-GD32S3,ゴールド,32GB,,889349585924
4ZJQ2SR3UN000,スマートフォン本体,ASUS,ZenFone 3 Max ZC553KL,ZenFone 3 Max ZC553KL ピンク 32GB ZC553KL-PK32S3,ピンク,32GB,,889349585948
4M7GB7DJAC000,スマートフォン本体,ASUS,ZenFone 3 Max,ZenFone 3 Max グレー 16GB ZC520TL-GY16,グレー,16GB,,
I6ZWPK46LF000,スマートフォン本体,ASUS,ZenFone 3 Max,ZenFone 3 Max ゴールド 16GB ZC520TL-GD16,ゴールド,16GB,,
SK4EZ330VA000,スマートフォン本体,ASUS,ZenFone 3 Max,ZenFone 3 Max シルバー 16GB ZC520TL-SL16,シルバー,16GB,,
G4TKAYIX9Y000,スマートフォン本体,ASUS,ZenFone 3 Ultra,ZenFone 3 Ultra グレー 32GB ZU680KL-GY32S4,グレー,32GB,,889349562383
GYVRMRIKUL000,スマートフォン本体,ASUS,ZenFone 3 Ultra,ZenFone 3 Ultra シルバー 32GB ZU680KL-SL32S4,シルバー,32GB,,
MVB4L4BDWH000,スマートフォン本体,ASUS,ZenFone 3 Ultra,ZenFone 3 Ultra ローズゴールド 32GB ZU680KL-RG32S4,ローズゴールド,32GB,,889349562390
NH44TZI1D2000,スマートフォン本体,ASUS,ZenFone 3 ZE552KL,ZenFone 3 ZE552KL サファイアブラック 64GB ZE552KL-BK64S4,サファイアブラック,64GB,,889349611555
5ZJ5YTGOU8000,スマートフォン本体,ASUS,ZenFone 3 ZE552KL,ZenFone 3 ZE552KL パールホワイト 64GB ZE552KL-WH64S4,パールホワイト,64GB,,889349611562
4QKS48X54C000,スマートフォン本体,ASUS,ZenFone 3,ZenFone 3 クリスタルゴールド 32GB ZE520KL-GD32S3,クリスタルゴールド,32GB,,889349459973
73RT5J3WE2000,スマートフォン本体,ASUS,ZenFone 3,ZenFone 3 サファイアブラック 32GB ZE520KL-BK32S3,サファイアブラック,32GB,,889349459959
NNFI4NLT4O000,スマートフォン本体,ASUS,ZenFone 3,ZenFone 3 パールホワイト 32GB ZE520KL-WH32S3,パールホワイト,32GB,,889349459966
VK41I6JUN4000,スマートフォン本体,ASUS,ZenFone 4 Max,ZenFone 4 Max サンライトゴールド 32GB ‎ZC520KL-GD32S3,サンライトゴールド,32GB,,889349903544
0X3VOD94LH000,スマートフォン本体,ASUS,ZenFone 4 Max,ZenFone 4 Max ネイビーブラック 32GB ‎ZC520KL-BK32S3,ネイビーブラック,32GB,,889349871102
3KQNI4GY35000,スマートフォン本体,ASUS,ZenFone 4 Max,ZenFone 4 Max ローズピンク 32GB ‎ZC520KL-PK32S3,ローズピンク,32GB,,889349903551
FIPCJE24MT000,スマートフォン本体,ASUS,ZenFone 4 Pro SE,ZenFone 4 Pro SE ピュアブラック 64GB,ピュアブラック,64GB,,
P0DIZSQQMZ000,スマートフォン本体,ASUS,ZenFone 4 Pro SE,ZenFone 4 Pro SE ムーンライトホワイト 64GB,ムーンライトホワイト,64GB,,
C1DU4PD6H5000,スマートフォン本体,ASUS,ZenFone 4 Pro,ZenFone 4 Pro ピュアブラック 128GB ZS551KL-BK128S6,ピュアブラック,128GB,,889349782750
RRI6ULD4DO000,スマートフォン本体,ASUS,ZenFone 4 Pro,ZenFone 4 Pro ピュアブラック 64GB,ピュアブラック,64GB,,
P8N7F1BEM4000,スマートフォン本体,ASUS,ZenFone 4 Pro,ZenFone 4 Pro ムーンライトホワイト 128GB ZS551KL-WH128S6,ムーンライトホワイト,128GB,,889349782767
NON23KC427000,スマートフォン本体,ASUS,ZenFone 4 Pro,ZenFone 4 Pro ムーンライトホワイト 64GB,ムーンライトホワイト,64GB,,
WGGK6M3KBH000,スマートフォン本体,ASUS,ZenFone 4 Selfie Pro,ZenFone 4 Selfie Pro クラシックレッド 64GB ZD552KL-RD64S4,クラシックレッド,64GB,,889349820629
M7KRYWC75T000,スマートフォン本体,ASUS,ZenFone 4 Selfie Pro,ZenFone 4 Selfie Pro サンライトゴールド 64GB ZD552KL-GD64S4,サンライトゴールド,64GB,,889349820612
1P6THLYZ46000,スマートフォン本体,ASUS,ZenFone 4 Selfie Pro,ZenFone 4 Selfie Pro ネイビーブラック 64GB ZD552KL-BK64S4,ネイビーブラック,64GB,,889349820636
I4QSATS2PZ000,スマートフォン本体,ASUS,ZenFone 4 Selfie Pro,ZenFone 4 Selfie Pro ホワイト 64GB,ホワイト,64GB,,
H4VNMH44JL000,スマートフォン本体,ASUS,ZenFone 4 Selfie,ZenFone 4 Selfie サンライトゴールド 64GB ZD553KL-GD64S4,サンライトゴールド,64GB,,
H5J2H4AN59000,スマートフォン本体,ASUS,ZenFone 4 Selfie,ZenFone 4 Selfie ディープシーブラック 64GB ZD553KL-BK64S4,ディープシーブラック,64GB,,
BY6S7AZXV4000,スマートフォン本体,ASUS,ZenFone 4 Selfie,ZenFone 4 Selfie ミントグリーン 64GB ZD553KL,ミントグリーン,64GB,,
BA0HM7CW95000,スマートフォン本体,ASUS,ZenFone 4 Selfie,ZenFone 4 Selfie ローズピンク 64GB ZD553KL-PK64S4,ローズピンク,64GB,,
YUTRI4MQFQ000,スマートフォン本体,ASUS,ZenFone 4,ZenFone 4 ミッドナイトブラック 64GB ZE554KL-BK64S6,ミッドナイトブラック,64GB,,889349782743
KT6662K18E000,スマートフォン本体,ASUS,ZenFone 4,ZenFone 4 ミントグリーン 64GB ZE554KL,ミントグリーン,64GB,,
JRW304G1T1000,スマートフォン本体,ASUS,ZenFone 4,ZenFone 4 ムーンライトホワイト 64GB ZE554KL-WH64S6,ムーンライトホワイト,64GB,,889349799062
FLG64JKD94000,スマートフォン本体,ASUS,ZenFone 5,ZenFone 5 シャイニーブラック 64GB ZE620KL-BK64S6,シャイニーブラック,64GB,,889349979549
6S25HU45NJ000,スマートフォン本体,ASUS,ZenFone 5,ZenFone 5 スペースシルバー 64GB ZE620KL-SL64S6,スペースシルバー,64GB,,889349979556
TIK9K8HR7W000,スマートフォン本体,ASUS,ZenFone 5Q,ZenFone 5Q ミッドナイトブラック 64GB ZC600KL-BK64S4,ミッドナイトブラック,64GB,,889349979563
KEC4MRW6SG000,スマートフォン本体,ASUS,ZenFone 5Q,ZenFone 5Q ムーンライトホワイト 64GB ZC600KL-WH64S4,ムーンライトホワイト,64GB,,889349979570
O4YICYGYKC000,スマートフォン本体,ASUS,ZenFone 5Q,ZenFone 5Q ルージュレッド 64GB ZC600KL-RD64S4,ルージュレッド,64GB,,889349979587
UM0PEJY26N000,スマートフォン本体,ASUS,ZenFone 5Z,ZenFone 5Z シャイニーブラック 128GB ZS620KL-BK128S6,シャイニーブラック,128GB,,192876000717
TD01MDSBPC000,スマートフォン本体,ASUS,ZenFone 5Z,ZenFone 5Z スペースシルバー 128GB ZS620KL-SL128S6,スペースシルバー,128GB,,192876000724
FCVR4TXZW4000,スマートフォン本体,ASUS,ZenFone 6 Edition 30,ZenFone 6 Edition 30 マットブラック 512GB ZS630KL-BK30ASUS,マットブラック,512GB,,
RLM7NB0460000,スマートフォン本体,ASUS,ZenFone 6,ZenFone 6 トワイライトシルバー 128GB ZS630KL-SL128S6,トワイライトシルバー,128GB,,192876340554
0RBY85SMLI000,スマートフォン本体,ASUS,ZenFone 6,ZenFone 6 トワイライトシルバー 256GB ZS630KL-SL256S8,トワイライトシルバー,256GB,,192876340547
J1FMOOMFOH000,スマートフォン本体,ASUS,ZenFone 6,ZenFone 6 ミッドナイトブラック 128GB ZS630KL-BK128S6,ミッドナイトブラック,128GB,,192876329689
DQUENTWTA6000,スマートフォン本体,ASUS,ZenFone 6,ZenFone 6 ミッドナイトブラック 256GB ZS630KL-BK256S8,ミッドナイトブラック,256GB,,192876340530
54IJ840C4H000,スマートフォン本体,ASUS,ZenFone 7 Pro,ZenFone 7 Pro オーロラブラック 256GB ZS671KS-BK256S8,オーロラブラック,256GB,,192876828670
JTG7OA5J6F000,スマートフォン本体,ASUS,ZenFone 7 Pro,ZenFone 7 Pro パステルホワイト 256GB ZS671KS-WH256S8,パステルホワイト,256GB,,192876828687
GX8EB0LLBN000,スマートフォン本体,ASUS,ZenFone 7,ZenFone 7 オーロラブラック 128GB ZS670KS-BK128S8/A,オーロラブラック,128GB,,192876828656
21C48614OP000,スマートフォン本体,ASUS,ZenFone 7,ZenFone 7 パステルホワイト 128GB ZS670KS-WH128S8,パステルホワイト,128GB,,192876828663
VQMTWOXCCT000,スマートフォン本体,ASUS,ZenFone 8 (RAM 16GBモデル),ZenFone 8 (RAM 16GBモデル) オブシディアンブラック 256GB ZS590KS-BK256S16,オブシディアンブラック,256GB,,195553316767
U24NQ3S6UJ000,スマートフォン本体,ASUS,ZenFone 8 (RAM 16GBモデル),ZenFone 8 (RAM 16GBモデル) ホライゾンシルバー 256GB ZS590KS-WH256S16,ホライゾンシルバー,256GB,,195553316828
0687NS5OSN000,スマートフォン本体,ASUS,ZenFone 8 (RAM 16GBモデル),ZenFone 8 (RAM 16GBモデル) ムーンライトホワイト 256GB ZS590KS-WH256S16,ムーンライトホワイト,256GB,,195553316798
5WP7X9IANO000,スマートフォン本体,ASUS,ZenFone 8 (RAM 8GBモデル),ZenFone 8 (RAM 8GBモデル) オブシディアンブラック 128GB ZS590KS-BK128S8,オブシディアンブラック,128GB,,195553316743
2F0NFGUB5A000,スマートフォン本体,ASUS,ZenFone 8 (RAM 8GBモデル),ZenFone 8 (RAM 8GBモデル) オブシディアンブラック 256GB ZS590KS-BK256S8,オブシディアンブラック,256GB,,195553316750
0GPMS7TQD2000,スマートフォン本体,ASUS,ZenFone 8 (RAM 8GBモデル),ZenFone 8 (RAM 8GBモデル) ホライゾンシルバー 128GB ZS590KS-SL128S8,ホライゾンシルバー,128GB,,195553316804
B8IF1MSKCS000,スマートフォン本体,ASUS,ZenFone 8 (RAM 8GBモデル),ZenFone 8 (RAM 8GBモデル) ホライゾンシルバー 256GB ZS590KS-SL256S8,ホライゾンシルバー,256GB,,195553316811
9NH4BY7LUS000,スマートフォン本体,ASUS,ZenFone 8 (RAM 8GBモデル),ZenFone 8 (RAM 8GBモデル) ムーンライトホワイト 128GB ZS590KS-WH128S8,ムーンライトホワイト,128GB,,195553316774
DFIJGJCD77000,スマートフォン本体,ASUS,ZenFone 8 (RAM 8GBモデル),ZenFone 8 (RAM 8GBモデル) ムーンライトホワイト 256GB ZS590KS-WH256S8,ムーンライトホワイト,256GB,,195553316781
I5RJAWC6YL000,スマートフォン本体,ASUS,ZenFone 8 Flip,ZenFone 8 Flip ギャラクティックブラック 128GB ZS672KS-BK128S8,ギャラクティックブラック,128GB,,195553316927
ND3E4A1KH4000,スマートフォン本体,ASUS,ZenFone 8 Flip,ZenFone 8 Flip ギャラクティックブラック 256GB ZS672KS-BK256S8,ギャラクティックブラック,256GB,,195553317023
IFN2TVBE21000,スマートフォン本体,ASUS,ZenFone 8 Flip,ZenFone 8 Flip グレイシアシルバー 128GB ZS672KS-SL128S8,グレイシアシルバー,128GB,,195553317030
3ENCYRD6SB000,スマートフォン本体,ASUS,ZenFone 8 Flip,ZenFone 8 Flip グレイシアシルバー 256GB ZS672KS-SL256S8,グレイシアシルバー,256GB,,195553317047
NC0QMAC357000,スマートフォン本体,ASUS,ZenFone 9 (RAM 16GBモデル),ZenFone 9 (RAM 16GBモデル) ミッドナイトブラック 256GB ZF9-BK16S256,ミッドナイトブラック,256GB,,195553931670
PG4ECB9ZL4000,スマートフォン本体,ASUS,ZenFone 9 (RAM 8GBモデル),ZenFone 9 (RAM 8GBモデル) サンセットレッド 128GB ZF9-RD8S128,サンセットレッド,128GB,,195553931656
ZXM8UBZBU9000,スマートフォン本体,ASUS,ZenFone 9 (RAM 8GBモデル),ZenFone 9 (RAM 8GBモデル) サンセットレッド 256GB ZF9-RD8S256,サンセットレッド,256GB,,
UXCNN6O0J1000,スマートフォン本体,ASUS,ZenFone 9 (RAM 8GBモデル),ZenFone 9 (RAM 8GBモデル) スターリーブルー 128GB ZF9-BL8S128,スターリーブルー,128GB,,195553931663
GNE5T2310P000,スマートフォン本体,ASUS,ZenFone 9 (RAM 8GBモデル),ZenFone 9 (RAM 8GBモデル) スターリーブルー 256GB ZF9-BL8S256,スターリーブルー,256GB,,
2HLGB3O7PZ000,スマートフォン本体,ASUS,ZenFone 9 (RAM 8GBモデル),ZenFone 9 (RAM 8GBモデル) ミッドナイトブラック 128GB ZF9-BK8S128,ミッドナイトブラック,128GB,,195553931618
SDZQXHIT06000,スマートフォン本体,ASUS,ZenFone 9 (RAM 8GBモデル),ZenFone 9 (RAM 8GBモデル) ミッドナイトブラック 256GB ZF9-BK8S256,ミッドナイトブラック,256GB,,195553931625
DGWR4MZXQK000,スマートフォン本体,ASUS,ZenFone 9 (RAM 8GBモデル),ZenFone 9 (RAM 8GBモデル) ムーンライトホワイト 128GB ZF9-WH8S128,ムーンライトホワイト,128GB,,195553931632
IQQ5FXUTPL000,スマートフォン本体,ASUS,ZenFone 9 (RAM 8GBモデル),ZenFone 9 (RAM 8GBモデル) ムーンライトホワイト 256GB ZF9-WH8S256,ムーンライトホワイト,256GB,,195553931649
GZ9414I9D6000,スマートフォン本体,ASUS,ZenFone AR,ZenFone AR ブラック 128GB ZS571KL-BK128S8,ブラック,128GB,,889349703625
BVE6X8T6F7000,スマートフォン本体,ASUS,ZenFone AR,ZenFone AR ブラック 64GB ZS571KL-BK64S6,ブラック,64GB,,889349686966
PCSOHEI0BG000,スマートフォン本体,ASUS,ZenFone C,ZenFone C ZC451CG ゴールド 8GB,ゴールド,8GB,,
FIZ07ISES2000,スマートフォン本体,ASUS,ZenFone C,ZenFone C ZC451CG ブラック 8GB,ブラック,8GB,,
U5V4ZDJNV3000,スマートフォン本体,ASUS,ZenFone C,ZenFone C ZC451CG ホワイト 8GB,ホワイト,8GB,,
MT74BRSBS4000,スマートフォン本体,ASUS,ZenFone C,ZenFone C ZC451CG レッド 8GB,レッド,8GB,,
GGYIF0IUKM000,スマートフォン本体,ASUS,ZenFone Go,ZenFone Go ピンク 16GB ZB551KL-PK16,ピンク,16GB,,
5Q7HIWQKCQ000,スマートフォン本体,ASUS,ZenFone Go,ZenFone Go ブラック 16GB ZB551KL-BK16,ブラック,16GB,,889349364727
MBHQ3J0YTE000,スマートフォン本体,ASUS,ZenFone Go,ZenFone Go ブルー 16GB ‎ZB551KL-BL16,ブルー,16GB,,
C2YZ87I91Z000,スマートフォン本体,ASUS,ZenFone Go,ZenFone Go ホワイト 16GB ZB551KL-WH16,ホワイト,16GB,,
